Simulatio  Nitrate       CT
        1      116        0
        2      456        0
        3       28        0
        4      119        0
        5      237        1
        6       39        0
        7      104        0
        8       23        0
        9      121        0
       10      291        0
       11      158        0
       12      427        0
       13       64        0
       14       40        0
       15      174        1
       16      224        0
       17      164        0
       18      213        0
       19      229        1
       20       56        0
       21       45        0
       22       16        0
       23       87        0
       24       25        0
       25       82        0
       26       50        0
       27      194        0
       28      204        0
       29       30        0
       30       20        0
       31      308        0
       32      133        0
       33      386        0
       34       37        0
       35      211        0
       36      488        1
       37       41        0
       38      211        0
       39      105        0
       40       39        0
       41       90        0
       42       21        0
       43      160        1
       44       22        0
       45      245        1
       46       21        0
       47       41        0
       48       97        0
       49      108        0
       50      127        0
       51       66        0
       52       89        0
       53       60        0
       54       61        0
       55      233        0
       56       44        0
       57      135        1
       58       27        0
       59      232        0
       60       88        0
       61       18        0
       62      265        0
       63       62        0
       64       53        0
       65      258        0
       66      180        0
       67      265        0
       68      161        0
       69      353        0
       70       38        0
       71      310        0
       72      426        1
       73      287        1
       74      178        0
       75       57        0
       76       34        0
       77       27        0
       78      105        0
       79      254        0
       80      277        1
       81       86        0
       82      204        0
       83      154        1
       84      125        0
       85      281        0
       86      355        1
       87      124        0
       88       58        0
       89       76        0
       90      116        0
       91       70        0
       92       31        0
       93      166        0
       94       37        0
       95       96        0
       96      292        2
       97      353        2
       98      597        2
       99      266        1
      100      107        0
      101      401        1
      102      215        0
      103       64        0
      104      289        0
      105      257        1
      106       60        0
      107      235        2
      108      191        0
      109      174        0
      110      300        0
      111      301        0
      112      186        0
      113       38        0
      114       35        0
      115      216        0
      116      246        1
      117      255        0
      118      347        0
      119       66        0
      120       24        0
      121      378        0
      122       63        0
      123       46        0
      124      116        0
      125       94        0
      126      208        1
      127      243        0
      128      338        1
      129       65        0
      130       92        0
      131      119        0
      132      290        0
      133       41        0
      134       34        0
      135      286        0
      136       42        0
      137      264        1
      138       52        0
      139      312        1
      140       52        0
      141      449        1
      142      282        1
      143       34        0
      144       33        0
      145      223        1
      146       72        0
      147      230        0
      148       24        0
      149      184        1
      150      442        0
      151      182        0
      152      136        0
      153      245        1
      154       22        0
      155      158        0
      156      112        0
      157       47        0
      158       91        0
      159       45        0
      160       46        0
      161       41        0
      162       45        0
      163      103        0
      164      312        0
      165       10        0
      166      181        0
      167       46        0
      168       44        0
      169       26        0
      170       94        0
      171       22        0
      172      221        0
      173      145        0
      174      334        1
      175      368        1
      176       42        0
      177      294        1
      178       64        0
      179      295        0
      180      300        0
      181      147        0
      182       66        0
      183       73        0
      184      185        0
      185      183        0
      186       51        0
      187      442        2
      188      177        1
      189       45        0
      190      259        0
      191      192        1
      192      157        0
      193      141        0
      194       46        0
      195       47        0
      196      161        0
      197       43        0
      198       91        0
      199       16        0
      200      398        2
      201      295        1
      202      135        0
      203       23        0
      204      108        1
      205      125        0
      206      141        0
      207       47        0
      208      115        0
      209      505        0
      210       71        0
      211      109        0
      212      361        0
      213       63        0
      214      106        0
      215       50        0
      216       40        0
      217      155        1
      218      200        0
      219       22        0
      220      219        0
      221      157        0
      222       64        0
      223      337        2
      224      240        0
      225       95        0
      226       48        0
      227      121        0
      228      564        4
      229      148        0
      230      230        1
      231       29        0
      232      121        0
      233      517        1
      234      545        2
      235      200        0
      236       57        0
      237      110        0
      238      253        0
      239       98        0
      240      229        0
      241      185        0
      242      212        0
      243       75        1
      244       45        0
      245      519        2
      246      171        0
      247      304        0
      248      138        0
      249       54        0
      250       26        0
      251      213        1
      252      166        1
      253       58        0
      254      327        2
      255       56        0
      256       45        0
      257       90        0
      258       24        0
      259       21        0
      260      330        1
      261      170        0
      262      321        3
      263       48        0
      264      126        0
      265       32        0
      266       36        0
      267      273        0
      268      110        0
      269      402        0
      270       13        0
      271       58        0
      272      103        0
      273       32        0
      274       68        0
      275      196        0
      276       28        0
      277      156        0
      278       54        0
      279       45        0
      280      158        0
      281      333        1
      282       52        0
      283       53        0
      284       28        0
      285      139        0
      286      514        2
      287       13        0
      288      342        1
      289      135        0
      290      226        1
      291       33        0
      292      310        1
      293      207        0
      294      362        0
      295      189        0
      296      101        0
      297      540        0
      298       66        0
      299       65        0
      300      334        2
