,,,,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx
column,row,X,Y,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17,Layer 18,Layer 19,Layer 20,Layer 21,Layer 22,Layer 23,Layer 24,Layer 25,Layer 26,Layer 27,Layer 28,Layer 29,Layer 30,Layer 31,Layer 32,Layer 33,Layer 34,Layer 35,Layer 36,Layer 37,Layer 38,Layer 39,Layer 40,Layer 41,Layer 42,Layer 43,Layer 44
1,1,2.655,56.24,10.3861,9.4851,9.1931,9.7788,9.0303,8.4979,9.038,10.3675,10.2904,9.1126,10.3344,10.0606,11.1659,12.1981,11.6411,12.3207,11.7973,24.7944,21.1609,21.7142,24.2747,23.3746,22.526,22.9379,26.3508,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6369,45.4102,47.3929,49.1342,45.0748,49.5683,49.1964,53.0803,52.3111
2,1,7.6,56.24,10.3866,9.9004,9.5703,9.7848,9.0518,8.533,9.0584,10.1565,10.3168,9.1013,9.8243,9.6679,11.0809,13.0955,11.3403,12.4244,11.7539,23.3149,21.1448,20.8576,25.871,24.0677,23.3074,22.9516,26.3399,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6369,45.4102,47.3929,49.1342,45.0748,49.5671,49.1964,53.0803,52.3111
3,1,11.865,56.24,10.3873,9.9045,9.5791,10.0308,9.8658,8.4569,9.085,10.1637,10.28,9.2859,9.4177,9.6299,11.4029,12.9976,11.3168,12.3912,12.2463,23.2865,21.1589,20.8859,25.8258,24.0593,23.3181,23.1336,26.3399,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4102,49.4474,49.1342,45.0748,49.5671,49.1964,53.0791,52.3111
4,1,15.545,56.24,10.388,9.9089,9.5879,10.0363,9.8749,8.7431,9.0318,10.1771,10.2545,9.2893,9.7231,9.8259,10.1602,12.3978,11.303,12.369,12.2226,23.2666,21.177,20.9182,25.7973,24.0638,23.3369,23.1608,26.349,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4474,49.1342,45.0748,49.5671,49.1953,53.0791,52.3099
5,1,18.72,56.24,10.3885,9.9127,9.5963,10.1196,9.8861,9.1423,8.8,10.1949,10.2391,9.2906,9.7186,9.9246,10.1485,12.3567,11.2149,10.9717,12.2071,23.2543,21.197,20.9529,25.7818,23.5968,23.3611,23.1912,26.3648,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4474,49.1342,45.0748,49.5671,49.1953,53.0791,52.3099
6,1,21.46,56.24,10.389,9.9164,9.6038,10.1261,10.2125,9.1703,9.1223,10.7111,10.233,9.2981,9.726,9.9212,10.1502,12.3326,11.2185,10.981,12.199,23.2484,21.218,22.2021,25.7777,23.6164,23.3875,23.2228,26.3842,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,49.5671,49.1953,53.0791,52.3099
7,1,23.825,56.24,10.3895,9.9198,9.6107,10.1329,10.2208,9.1969,9.7273,10.717,10.7695,9.3097,9.8101,9.9285,10.1623,12.3221,11.5673,10.995,11.9943,23.2468,21.2385,22.2256,25.7812,23.6387,23.415,23.2543,26.4055,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,49.5671,49.1953,53.0791,52.3099
8,1,25.865,56.24,10.39,9.9226,9.6169,10.1394,10.2295,9.2213,9.7459,10.2864,10.7714,9.8216,9.8289,9.717,10.1815,12.3224,11.5636,11.0117,11.997,23.249,21.2581,23.2918,25.3795,23.6616,23.5306,23.2838,26.4268,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
9,1,27.625,56.24,10.3902,9.9253,9.622,10.1457,10.2382,9.243,9.7637,10.299,10.7774,9.8354,9.8511,9.8425,9.9844,12.185,11.5644,11.3163,12.0023,23.2533,21.2767,23.3058,25.3912,23.5632,23.5577,23.3106,26.4481,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
